time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
181,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.0,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
226,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.009999990463256836,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
250,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.03217000152799301,-0.06434000305598601,false,false,0.0,0.0,0.0
260,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,-0.06434000305598601,0.0,false,false,0.0,0.0,0.0
293,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,-0.03217000152799301,-0.03217000152799301,false,false,0.0,0.0,0.0
323,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.0,-0.06434000305598601,false,false,0.0,0.0,0.0
338,5098,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
388,5237,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,-0.03217000152799301,0.06434000305598601,false,false,0.0,0.0,0.0
417,5293,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
446,5311,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.65,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
467,5341,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.65,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.06434000305598601,0.03217000152799301,false,false,0.0,0.0,0.0
482,5351,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
497,5364,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.92999267578125,3.9200000762939453,-0.0,-0.03217000152799301,0.0,false,false,0.0,0.0,0.0
518,5393,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
539,5398,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
555,5417,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
562,5437,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,-0.06434000305598601,false,false,0.0,0.0,0.0
577,5437,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.03217000152799301,0.06434000305598601,false,false,0.0,0.0,0.0
593,5457,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,0.16084999640472233,false,false,0.0,0.0,0.0
600,5457,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.0,-0.09651000083889813,false,false,0.0,0.0,0.0
616,5477,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.03217000152799301,-0.12868000611197203,false,false,0.0,0.0,0.0
632,5497,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.121583349999998,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.03217000152799301,-0.12868000611197203,false,false,0.0,0.0,0.0
639,5497,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.1826185,0.0,0.0,0.0,0.0,9.100039706945074,0.0,-2.643145903059818,12.700000000000001,0.0,0.125,PercentOutput,1,0.0,9.058026383420454,0.0,2.3730602518301254,12.75,0.0,0.125,PercentOutput,1,3.94000244140625,3.930000066757202,-0.0,0.03217000152799301,-0.06434000305598601,false,false,0.0,0.0,0.0
